,index,variable,value
424,China - Shanghai,1/30/20,5
425,China - Hebei,1/30/20,0
426,Diamond Princess,1/30/20,0
427,China - Fujian,1/30/20,0
428,Malaysia,1/30/20,0
429,Denmark,1/30/20,0
430,China - Shaanxi,1/30/20,0
431,China - Guangxi,1/30/20,2
432,Japan,1/30/20,1
433,Turkey,1/30/20,0
434,Peru,1/30/20,0
435,Thailand,1/30/20,5
436,China - Yunnan,1/30/20,0
437,China - Hainan,1/30/20,1
438,Singapore,1/30/20,0
439,Bahrain,1/30/20,0
440,China - Guizhou,1/30/20,1
441,Chile,1/30/20,0
442,China - Shanxi,1/30/20,1
443,Australia - Victoria,1/30/20,0
444,China - Tianjin,1/30/20,0
445,Israel,1/30/20,0
446,China - Liaoning,1/30/20,1
447,China - Gansu,1/30/20,0
448,Romania,1/30/20,0
449,Iceland,1/30/20,0
450,China - Hubei,1/31/20,141
451,Spain,1/31/20,0
452,Iran,1/31/20,0
453,Germany,1/31/20,0
454,Italy,1/31/20,0
455,France,1/31/20,0
456,US,1/31/20,0
457,"Korea, South",1/31/20,0
458,Switzerland,1/31/20,0
459,China - Guangdong,1/31/20,11
460,China - Henan,1/31/20,3
461,China - Zhejiang,1/31/20,14
462,China - Hunan,1/31/20,2
463,China - Anhui,1/31/20,3
464,China - Jiangxi,1/31/20,7
465,Belgium,1/31/20,0
466,China - Shandong,1/31/20,2
467,China - Jiangsu,1/31/20,5
468,Canada,1/31/20,0
469,Austria,1/31/20,0
470,China - Chongqing,1/31/20,1
471,China - Sichuan,1/31/20,1
472,China - Heilongjiang,1/31/20,0
473,China - Beijing,1/31/20,5
474,China - Shanghai,1/31/20,9
475,China - Hebei,1/31/20,0
476,Diamond Princess,1/31/20,0
477,China - Fujian,1/31/20,0
478,Malaysia,1/31/20,0
479,Denmark,1/31/20,0
480,China - Shaanxi,1/31/20,0
481,China - Guangxi,1/31/20,2
482,Japan,1/31/20,1
483,Turkey,1/31/20,0
484,Peru,1/31/20,0
485,Thailand,1/31/20,5
486,China - Yunnan,1/31/20,1
487,China - Hainan,1/31/20,1
488,Singapore,1/31/20,0
489,Bahrain,1/31/20,0
490,China - Guizhou,1/31/20,2
491,Chile,1/31/20,0
492,China - Shanxi,1/31/20,1
493,Australia - Victoria,1/31/20,0
494,China - Tianjin,1/31/20,0
495,Israel,1/31/20,0
496,China - Liaoning,1/31/20,1
497,China - Gansu,1/31/20,0
498,Romania,1/31/20,0
499,Iceland,1/31/20,0
500,China - Hubei,2/1/20,168
501,Spain,2/1/20,0
502,Iran,2/1/20,0
503,Germany,2/1/20,0
504,Italy,2/1/20,0
505,France,2/1/20,0
